,Performer_x,Year,Peak Position,Song_x,total_weeks
99,Keith Urban,2009,16,Kiss A Girl,662
100,Keith Urban,2010,58,'Til Summer Comes Around,662
101,Keith Urban,2011,45,Long Hot Summer,662
102,Keith Urban,2012,54,You Gonna Fly,662
103,Keith Urban,2013,33,Little Bit Of Everything,662
104,Keith Urban,2014,41,Cop Car,662
105,Keith Urban,2015,40,"John Cougar, John Deere, John 3:16",662
106,Keith Urban,2016,24,Blue Ain't Your Color,662
107,Keith Urban,2017,24,Blue Ain't Your Color,662
108,Keith Urban,2018,93,Female,662
109,Keith Urban,2019,65,We Were,662
110,Keith Urban,2020,60,God Whispered Your Name,662
111,Kenny Chesney,1998,79,That's Why I'm Here,713
112,Kenny Chesney,1999,27,How Forever Feels,713
113,Kenny Chesney,2000,34,I Lost It,713
114,Kenny Chesney,2001,26,Don't Happen Twice,713
115,Kenny Chesney,2002,22,The Good Stuff,713
116,Kenny Chesney,2003,28,Big Star,713
117,Kenny Chesney,2004,29,There Goes My Life,713
118,Kenny Chesney,2005,33,The Woman With You,713
119,Kenny Chesney,2006,34,Summertime,713
120,Kenny Chesney,2007,22,Never Wanted Nothing More,713
121,Kenny Chesney,2008,29,Don't Blink,713
122,Kenny Chesney,2009,16,Out Last Night,713
123,Kenny Chesney,2010,18,The Boys of Fall,713
124,Kenny Chesney,2011,31,Somewhere With You,713
125,Kenny Chesney,2012,23,Come Over,713
126,Kenny Chesney,2013,46,Pirate Flag,713
127,Kenny Chesney,2014,23,American Kids,713
128,Kenny Chesney,2015,54,Save It For A Rainy Day,713
129,Kenny Chesney,2016,72,Noise,713
130,Kenny Chesney,2017,63,All The Pretty Girls,713
131,Kenny Chesney,2018,22,Get Along,713
132,Kenny Chesney,2019,73,Tip Of My Tongue,713
133,Kenny Chesney,2020,38,Here And Now,713
134,Madonna,1983,31,Holiday,682
135,Madonna,1984,1,Like A Virgin,682
136,Madonna,1985,1,Crazy For You,682
137,Madonna,1986,1,Live To Tell,682
138,Madonna,1987,1,Open Your Heart,682
139,Madonna,1988,2,Causing A Commotion,682
140,Madonna,1989,1,Like A Prayer,682
141,Madonna,1990,1,Vogue,682
142,Madonna,1991,1,Justify My Love,682
143,Madonna,1992,1,This Used To Be My Playground,682
144,Madonna,1993,3,Erotica,682
145,Madonna,1994,2,"I'll Remember (From ""With Honors"")",682
146,Madonna,1995,1,Take A Bow,682
147,Madonna,1996,6,You'll See,682
148,Madonna,1997,8,"Don't Cry For Me Argentina (From ""Evita"")",682
149,Madonna,1998,2,Frozen,682
150,Madonna,1999,11,The Power Of Good-Bye,682
151,Madonna,2000,1,Music,682
152,Madonna,2001,1,Music,682
153,Madonna,2002,8,Die Another Day,682
154,Madonna,2003,8,Die Another Day,682
155,Madonna,2005,7,Hung Up,682
156,Madonna,2006,7,Hung Up,682
157,Madonna,2008,57,Give It 2 Me,682
158,Madonna,2009,71,Celebration,682
159,Rod Stewart,1971,1,Maggie May/Reason To Believe,597
160,Rod Stewart,1972,13,You Wear It Well,597
161,Rod Stewart,1973,59,Oh! No Not My Baby,597
162,Rod Stewart,1974,91,Mine For Me,597
163,Rod Stewart,1975,58,Sailing,597
164,Rod Stewart,1976,1,Tonight's The Night (Gonna Be Alright),597
165,Rod Stewart,1977,1,Tonight's The Night (Gonna Be Alright),597
166,Rod Stewart,1978,4,You're In My Heart (The Final Acclaim),597
167,Rod Stewart,1979,1,Da Ya Think I'm Sexy?,597
168,Rod Stewart,1980,11,Passion,597
169,Rod Stewart,1981,5,Passion,597
170,Rod Stewart,1982,5,Young Turks,597
171,Rod Stewart,1983,14,Baby Jane,597
172,Rod Stewart,1984,6,Infatuation,597
173,Rod Stewart,1985,72,All Right Now,597
174,Rod Stewart,1986,6,"Love Touch (Theme From ""Legal Eagles"")",597
175,Rod Stewart,1987,80,"Twistin' The Night Away (From ""Innerspace"")",597
176,Rod Stewart,1988,12,Forever Young,597
177,Rod Stewart,1989,4,My Heart Can't Tell You No,597
178,Rod Stewart,1990,3,Downtown Train,597
179,Rod Stewart,1991,5,Rhythm Of My Heart,597
180,Rod Stewart,1992,20,Broken Arrow,597
181,Rod Stewart,1993,5,Have I Told You Lately,597
182,Rod Stewart,1994,36,Having A Party,597
183,Rod Stewart,1995,52,Leave Virginia Alone,597
184,Rod Stewart,1996,55,If We Fall In Love Tonight,597
185,Rod Stewart,1997,54,If We Fall In Love Tonight,597
186,Rod Stewart,1998,39,Ooh La La,597
187,Stevie Wonder,1964,29,Hey Harmonica Man,614
188,Stevie Wonder,1965,59,High Heel Sneakers,614
189,Stevie Wonder,1966,3,Uptight (Everything's Alright),614
190,Stevie Wonder,1967,2,I Was Made To Love Her,614
191,Stevie Wonder,1968,2,For Once In My Life,614
192,Stevie Wonder,1969,2,For Once In My Life,614
193,Stevie Wonder,1970,3,"Signed, Sealed, Delivered I'm Yours",614
194,Stevie Wonder,1971,8,If You Really Love Me,614
195,Stevie Wonder,1972,16,Superstition,614
196,Stevie Wonder,1973,1,Superstition,614
197,Stevie Wonder,1974,1,You Haven't Done Nothin,614
198,Stevie Wonder,1975,3,Boogie On Reggae Woman,614
199,Stevie Wonder,1976,7,I Wish,614
200,Stevie Wonder,1977,1,I Wish,614
201,Stevie Wonder,1978,36,As,614
202,Stevie Wonder,1979,4,Send One Your Love,614
203,Stevie Wonder,1980,4,Send One Your Love,614
204,Stevie Wonder,1981,5,Master Blaster (Jammin'),614
205,Stevie Wonder,1982,4,That Girl,614
206,Stevie Wonder,1984,1,I Just Called To Say I Love You,614
207,Stevie Wonder,1985,1,I Just Called To Say I Love You,614
208,Stevie Wonder,1986,1,Part-Time Lover,614
209,Stevie Wonder,1987,19,Skeletons,614
210,Stevie Wonder,1988,19,Skeletons,614
211,Stevie Wonder,1991,92,"Gotta Have You (From ""Jungle Fever"")",614
212,Stevie Wonder,1995,53,For Your Love,614
213,Stevie Wonder,2005,96,So What The Fuss,614
214,Tim McGraw,1994,15,Indian Outlaw,703
215,Tim McGraw,1995,25,"I Like It, I Love It",703
216,Tim McGraw,1996,25,"I Like It, I Love It",703
217,Tim McGraw,1998,60,For A Little While,703
218,Tim McGraw,1999,10,Please Remember Me,703
219,Tim McGraw,2000,27,My Next Thirty Years,703
220,Tim McGraw,2001,25,Grown Men Don't Cry,703
221,Tim McGraw,2002,26,Unbroken,703
222,Tim McGraw,2003,27,Real Good Man,703
223,Tim McGraw,2004,30,Back When,703
224,Tim McGraw,2005,29,Live Like You Were Dying,703
225,Tim McGraw,2006,35,My Little Girl,703
226,Tim McGraw,2007,13,Last Dollar (Fly Away),703
227,Tim McGraw,2008,47,Let It Go,703
228,Tim McGraw,2009,47,Let It Go,703
229,Tim McGraw,2010,26,Felt Good On My Lips,703
230,Tim McGraw,2011,26,Felt Good On My Lips,703
231,Tim McGraw,2012,52,Better Than I Used To Be,703
232,Tim McGraw,2013,32,One Of Those Nights,703
233,Tim McGraw,2014,39,Shotgun Rider,703
234,Tim McGraw,2015,38,Shotgun Rider,703
235,Tim McGraw,2016,30,Humble And Kind,703
236,Tim McGraw,2017,70,How I'll Always Be,703
237,Tim McGraw,2020,53,I Called Mama,703
